ITEM,BASE,LIN,MAT,FORMA,CORRE,CODIGO,DESCRIPCION DE PRODUCTO,DISP,UND,PRECIO DETAL USD,PRECIO MAYOR USD,SALIDA,ENTRADA,STOCK,NUEVO PRECIO,COSTO,VALOR INVENTARIO,Unnamed: 18,Unnamed: 21
12.20,LAMINAS ,LAM,19,54,1,LAM1954001,"LAMINA GALVATECHO  5,80 X 0,90 mts ",2,Lam,55,,0,0,2,0,44,129.6,,
12.21,LAMINAS ARQUITECTONICAS,LAM,19,54,3,LAM1954003,"LAMINA ARQUITECTONICA AZUL 6 mts x 1,08 x 0,25 cal",133,Lam,27.5,25,133,1,1,0,22,986.4,,
12.22,,,19,54,7,LAM1954004,"LAMINA ARQUITECTONICA ROJA 6 mts x 1,08 x 0,25 cal",174,Lam,27.5,25,172,0,2,0,22,790.4,,
12.23,LAMINAS ARQUITECTONICAS,LAM,19,54,4,LAM 1954006,"LAMINA ARQUITECTONICA AZUL 6 mts x 1,08 x 0,35 cal",,Lam,36,33.65,153,200,47,36.3013698630137,28.8,0,,
12.24,,,19,54,5,LAM 1954007,"LAMINA ARQUITECTONICA BLANCA 6 mts x 1,08 x 0,35 cal",,Lam,36,33.65,99,100,1,36.3013698630137,28.8,1032.72,,
12.25,,,19,54,6,LAM 1954005,"LAMINA ARQUITECTONICA NARANJA 6 mts x 1,08 x 0,35 cal",,Lam,35,33.65,96,100,4,36.3013698630137,28,1244.1599999999999,,
12.26,LAMINAS ACEROLIT,LAM,19,55,6,LAM1955006,"LAMINA ACEROLIT  ROJO CANAL ONDULADO  4,00 X 0,80 mts ",0,Lam,39,,0,0,0,0,31.200000000000003,399.36000000000007,,
12.27,LAMINAS ,LAM,19,55,7,LAM1955007,"LAMINA TIPO PVC MIL TEJAS TRANSPARENTE  6,60 X 1,04 mts ",4,Lam,36,,0,0,4,0,28.8,3920.8,,
12.28,LAMINA CABALLETE /CUMBRERA ,LAM,19,55,5,LAM1955005,"CABALLETE CUMBRERA 0,70 X 2,00 mts",498,Lam,17,12,18.1,0,479.9,0,13.600000000000001,1149.6,,
12.29,LAMINA CABALLETE /CUMBRERA ,LAM,19,54,2,LAM1954002,"REMATE PARA FACHADA 0,20 X 2,00 mts",600,Lam,5,3,0,0,600,0,4,240,,
13,,,,,,LAMINAS OTRAS,,,,*,,,,LINEA,0,0,0,,
13.1,LAMINAS DRYWALL,LAM,11,15,1,LAM1115001,"LAMINA MIL TEJAS 2,00 X 1,05 M X 5,70 M",50,Lam,57.6,,50,200,200,0,46.080000000000005,4246,,
14,,,,,,MALLAS,,,,*,,,,LINEA,0,0,768.00000000000011,,
14.1,MALLA TRUCKSON,MAL,1,38,1,MAL0138001,MALLA TRUCKSON 5 X 5 X 120 mts,22,Und,295,,22,34,34,0,236,24530.4,,
14.2,MALLA TRUCKSON,MAL,1,38,2,MAL0138002,MALLA TRUCKSON 6 X 6 X 100 mts,2,Und,136,,108,247,141,0,108.80000000000001,475.2,,
14.3,MALLA TRUCKSON,MAL,1,38,3,MAL0138003,MALLA TRUCKSON 6 X 8 X 100 mts,18,Und,130,,19,1,0,0,104,1976.0000000000002,,
15,,,,,,VIGAS WF,,,,*,,,,LINEA,0,0,0,,
15.1,VIGA WF,VIG,1,10,1,VIG0110001,"VIGA WF 10X17 TIPO IPE 260 X 100 X 5,92 mts C/FLANCHE12X22cmX16mm",1,Und,190,,0,0,1,0,152,-3934.27200000496,,
15.2,VIGA WF,VIG,1,10,2,VIG0110002,"VIGA WF 12X19 TIPO IPE 300 X 100 X 6,00 mts",341,Und,270,,194,0,147,0,216,9295.04,,
15.3,VIGA WF,VIG,1,10,3,VIG0110003,"VIGA WF 12X22 TIPO IPE 300 X 105 X 6,00 mts",32,Und,280,,56,0,-24,0,224,6750.9600000000009,,
15.4,VIGA WF,VIG,1,10,4,VIG0110004,"VIGA WF 12X26 TIPO IPE 300 X 165 X 6,18 mts C/FLANCHE45X17cmX16mm",36,Und,290,,2,0,34,0,232,176.32,,
16,,,,,v,ZUNCHO,,,,*,,,,LINEA,0,0,5076.72,,
